specification,hagibis_mask,target_code,target,dropped_donor_code,dropped_weight,opening_gap_log,opening_pct,late_gap_log,late_pct
primary,event,17,Ishikawa,(none: baseline),,0.09723760855930141,10.212221618372318,0.09994077969634628,10.510547145619341
primary,event,17,Ishikawa,05,0.1163607851265292,0.06433742430859546,6.645218494894545,0.11133014850794624,11.776387401937116
primary,event,17,Ishikawa,06,0.009825409862907438,0.09856878640704991,10.359031379613516,0.0991861657871675,10.427185806401118
primary,event,17,Ishikawa,09,0.010724650208861299,0.09895715302658825,10.401899467294262,0.10120028047651855,10.64982295655119
primary,event,17,Ishikawa,10,0.18420249583375753,0.07216658851194868,7.4834384211040605,0.08815088277800273,9.21528966601095
primary,event,17,Ishikawa,13,0.08731865207484078,0.09755274493178234,10.246958971310406,0.10994403931073425,11.621560451647106
primary,event,17,Ishikawa,19,0.02846204508386674,0.10061315094496415,10.584876245763786,0.10440655775644521,11.005166330200321
primary,event,17,Ishikawa,21,0.05725339541701257,0.10556848854273948,11.134221612530325,0.10620442782720489,11.204918707049472
primary,event,17,Ishikawa,22,0.08259977563040309,0.0959215308145005,10.067269171562154,0.09395095647221482,9.850586999289469
primary,event,17,Ishikawa,29,0.008370971344650263,0.09776993479889828,10.2709060941214,0.10220061112680837,10.760564745872237
primary,event,17,Ishikawa,35,0.022146551104792064,0.09726730708767395,10.215494807767268,0.0947484237120641,9.938224182946653
primary,event,17,Ishikawa,37,0.07950412585533448,0.0996765234595074,10.481347902510606,0.12322800955987305,13.11423028052241
primary,event,17,Ishikawa,41,0.021680337754569762,0.10149646581195704,10.682600665378494,0.10519877658319202,11.093141556047193
primary,event,17,Ishikawa,45,0.10927784938479919,0.07192725316629733,7.457716913373513,0.12541475820502357,13.36185331632953
primary,event,17,Ishikawa,46,0.18227295531767773,0.07667628488272182,7.969250702867203,0.11375832336321616,12.048129800752516
primary,event,16,Toyama,(none: baseline),,0.07860164189496555,8.177330306297193,0.0031358461418238377,0.3140768050774678
primary,event,16,Toyama,05,0.34319002532618476,-0.021107403939697456,-2.088620175742162,-0.025210643622664394,-2.489550914866745
primary,event,16,Toyama,09,0.02944243273203182,0.07918173775005144,8.240101732183858,-0.001925065699523071,-0.19232139489870903
primary,event,16,Toyama,13,0.0031010714970491045,0.07865010276313011,8.182572800666454,0.002953280909330572,0.2957646139587933
primary,event,16,Toyama,19,0.09279714262858305,0.09511235103113513,9.978240987299491,0.024922301350399894,2.523545801902416
