target_code,target,event_ym,pre_start_ym,pre_end_ym,n_pre_months,pre_rmspe,backdated_opening_gap_log,backdated_opening_pct,p_backdated_opening_1s,p_backdated_opening_2s,n_placebos_kept
17,Ishikawa,201403,201201,201402,26,0.029431601377243766,-0.024146994029025315,-2.385778786514259,0.5806451612903226,0.7096774193548387,30
16,Toyama,201403,201201,201402,26,0.081728799585935,-0.07717177294303745,-7.42691755597421,0.8235294117647058,0.2647058823529412,33
