target_code,target,ym,actual_log,synthetic_log,gap_log
17,Ishikawa,201101,13.102670744058592,13.116206999074794,-0.013536255016202148
17,Ishikawa,201102,13.160891543109669,13.161468441603514,-0.0005768984938452348
17,Ishikawa,201103,13.149628288552341,13.021124264632284,0.12850402392005655
17,Ishikawa,201104,13.000737969280467,12.953639821606604,0.047098147673862556
17,Ishikawa,201105,13.270593709363371,13.254734063450888,0.015859645912483344
17,Ishikawa,201106,13.149550437248292,13.134957739607204,0.014592697641088392
17,Ishikawa,201107,13.187158115715476,13.364795957086649,-0.17763784137117256
17,Ishikawa,201108,13.585140961558325,13.686606143980564,-0.10146518242223834
17,Ishikawa,201109,13.316629973966153,13.340598730385151,-0.023968756418998538
17,Ishikawa,201110,13.461945060396866,13.409438435394861,0.05250662500200498
17,Ishikawa,201111,13.460206103047726,13.31959750802109,0.14060859502663625
17,Ishikawa,201112,13.26819382561587,13.17737135823943,0.09082246737643906
17,Ishikawa,201201,13.149219501573327,13.097302498421913,0.051917003151414676
17,Ishikawa,201202,13.177608851630307,13.12677159556079,0.05083725606951717
17,Ishikawa,201203,13.312123863295282,13.319681751689368,-0.007557888394085666
17,Ishikawa,201204,13.192486276835801,13.204167173447605,-0.011680896611803604
17,Ishikawa,201205,13.32801075950178,13.336082365181305,-0.008071605679525362
17,Ishikawa,201206,13.198416599189729,13.157346958495538,0.04106964069419128
17,Ishikawa,201207,13.33298080335313,13.322804539360952,0.010176263992178747
17,Ishikawa,201208,13.666151712273077,13.678688616443083,-0.012536904170005414
17,Ishikawa,201209,13.344594512593515,13.281448272486875,0.06314624010664005
17,Ishikawa,201210,13.355267142490698,13.370711529225318,-0.015444386734619897
17,Ishikawa,201211,13.381645975334411,13.36424008030757,0.01740589502684209
17,Ishikawa,201212,13.171648657079086,13.191261619331144,-0.019612962252057997
17,Ishikawa,201301,13.143224268071657,13.141819771596833,0.001404496474824768
17,Ishikawa,201302,13.250457514911805,13.19990017907989,0.050557335831914685
17,Ishikawa,201303,13.409990448343555,13.371367600259475,0.038622848084079564
17,Ishikawa,201304,13.212332043966104,13.243843516621352,-0.03151147265524834
17,Ishikawa,201305,13.333207601131484,13.366075663814684,-0.03286806268319964
17,Ishikawa,201306,13.173778664350484,13.209724780801292,-0.03594611645080725
17,Ishikawa,201307,13.328531660672564,13.375523077654297,-0.046991416981732925
17,Ishikawa,201308,13.686198821483934,13.712859574279566,-0.026660752795631737
17,Ishikawa,201309,13.35605905865233,13.332042212152098,0.02401684650023128
17,Ishikawa,201310,13.390357915936434,13.386972466308281,0.0033854496281531254
17,Ishikawa,201311,13.426873067962369,13.416010382362435,0.010862685599933641
17,Ishikawa,201312,13.230607730801967,13.255522636196675,-0.02491490539470753
17,Ishikawa,201401,13.108122455113987,13.151345319097778,-0.04322286398379127
17,Ishikawa,201402,13.113927898583228,13.12470994032812,-0.010782041744892723
17,Ishikawa,201403,13.334017173559568,13.36681844871618,-0.032801275156611354
17,Ishikawa,201404,13.210136131139775,13.231225075997145,-0.021088944857369896
17,Ishikawa,201405,13.392726336085643,13.402679393552347,-0.009953057466704607
17,Ishikawa,201406,13.21094185917692,13.240002834161682,-0.029060974984762566
17,Ishikawa,201407,13.290974710465031,13.361852778249414,-0.07087806778438299
17,Ishikawa,201408,13.754315773636081,13.691398589607466,0.06291718402861513
17,Ishikawa,201409,13.303000182467414,13.345578502051309,-0.04257831958389424
17,Ishikawa,201410,13.546493210741648,13.405920703631216,0.14057250711043245
17,Ishikawa,201411,13.470495938865248,13.424757994430529,0.04573794443471968
