unit_role,area_code,pre_rmspe,retained_max_gate,retained_min_gate
high_confidence,18201,0.051571343536393144,False,False
high_confidence,18202,0.072338532738345299,False,False
high_confidence,18204,0.068501873701722629,False,False
high_confidence,18205,0.089127658075542002,False,False
high_confidence,18207,0.091446315487203514,False,False
high_confidence,18208,0.11459959540422829,False,False
high_confidence,18210,0.089635086557187549,False,False
high_confidence,18322,0.081157880447757305,False,False
high_confidence,18404,0.059164395562074985,False,False
high_confidence,18423,0.093103522085448101,False,False
high_confidence,18481,0.10586607151972965,False,False
high_confidence,18483,0.050919357010740483,False,False
high_confidence,18501,0.11954483639060975,False,False
placebo,1101,0.10945608838917635,True,True
placebo,1102,0.065200325223014333,True,True
placebo,1103,0.094627802628834634,True,True
placebo,1104,0.39073339798098899,True,False
placebo,1105,0.4005747579972217,True,False
placebo,1106,0.10237190170938018,True,True
placebo,1107,0.085773007136161469,True,True
placebo,1108,0.17497265548297644,True,True
placebo,1109,0.1900234863012161,True,True
placebo,1110,0.36189396813071395,True,False
placebo,1202,0.14007388980201158,True,True
placebo,1203,0.080131148377859257,True,True
placebo,1204,0.10499021988002243,True,True
placebo,1205,0.078703351367572824,True,True
placebo,1206,0.044685970576098841,True,True
placebo,1207,0.080721701678907798,True,True
placebo,1208,0.10122883301127841,True,True
placebo,1209,0.24925498705356749,True,True
placebo,1210,0.28204898923467298,True,False
placebo,1211,0.1269023620366582,True,True
placebo,1212,0.1315918930287496,True,True
placebo,1213,0.0917188232358572,True,True
placebo,1214,0.10152578386314685,True,True
placebo,1215,0.21904672493878866,True,True
placebo,1216,0.059389987359176624,True,True
placebo,1217,0.085904300774627795,True,True
placebo,1219,0.091705507489327112,True,True
placebo,1220,0.26848523433136873,True,False
placebo,1221,0.060118586650858653,True,True
placebo,1222,0.053763601090309379,True,True
placebo,1223,0.13506944969519391,True,True
placebo,1224,0.11309713320705145,True,True
placebo,1225,0.058639566018644979,True,True
placebo,1226,0.26423768156897876,True,False
placebo,1227,0.072546463595677596,True,True
placebo,1228,0.058107311461740821,True,True
placebo,1229,0.35752096648229237,True,False
placebo,1230,0.1421071798427051,True,True
placebo,1231,0.088505390947708318,True,True
placebo,1233,0.058095385282968218,True,True
placebo,1234,0.63399525546813307,False,False
placebo,1235,0.15359213550905393,True,True
placebo,1236,0.28213532098428251,True,False
placebo,1303,0.058316929799929931,True,True
placebo,1304,0.10542389392988924,True,True
placebo,1331,0.33101701344481499,True,False
placebo,1332,0.30935370771688225,True,False
placebo,1333,0.12896870987005771,True,True
placebo,1334,0.07207104820413196,True,True
placebo,1337,0.070852754403392698,True,True
placebo,1343,0.30721397978015896,True,False
placebo,1345,0.068582453240972147,True,True
placebo,1346,0.18024937765695329,True,True
placebo,1361,0.084223033910712952,True,True
placebo,1362,0.12873392290591862,True,True
placebo,1363,0.12241096804970368,True,True
placebo,1364,0.13770298995437094,True,True
placebo,1371,0.11662317933097879,True,True
placebo,1391,0.33812236386599809,True,False
placebo,1392,0.16193908627914519,True,True
placebo,1393,0.071163640521424515,True,True
placebo,1394,0.077938578803664282,True,True
placebo,1395,0.074263619837960163,True,True
placebo,1396,0.1865311740151914,True,True
placebo,1397,0.14287576038388161,True,True
placebo,1398,0.10699972447208428,True,True
placebo,1399,0.19984457521236129,True,True
placebo,1400,0.14198377530081532,True,True
placebo,1402,0.16216214032774287,True,True
placebo,1404,0.19542166819672846,True,True
placebo,1407,0.069755017325533686,True,True
placebo,1408,0.10066520882440889,True,True
placebo,1409,0.13398330168174946,True,True
placebo,1423,0.22886819726658261,True,True
placebo,1424,0.065627716917772,True,True
placebo,1428,0.1500975743988075,True,True
placebo,1429,0.14443279601825415,True,True
placebo,1430,0.45008386434974201,True,False
placebo,1431,0.23224600201040282,True,True
placebo,1432,0.16926068084171605,True,True
placebo,1434,0.043907624135694177,True,True
placebo,1436,0.053544750178817185,True,True
placebo,1437,0.088034483912209333,True,True
placebo,1438,0.12991921701391668,True,True
placebo,1453,0.11193081485412879,True,True
placebo,1454,0.081426286360244418,True,True
placebo,1455,0.29346393487710892,True,False
placebo,1457,0.35307430940139378,True,False
placebo,1458,0.10311952251513375,True,True
placebo,1459,0.13510063704790945,True,True
placebo,1460,0.27414861739959656,True,False
placebo,1461,1.1802405097705149,False,False
placebo,1462,0.10561145325699234,True,True
placebo,1464,0.61512684353806291,False,False
placebo,1469,0.057713699702288068,True,True
placebo,1470,0.068089485986635348,True,True
placebo,1471,0.065745302056427243,True,True
placebo,1472,0.19758204742307242,True,True
placebo,1481,0.35990647972017226,True,False
placebo,1482,0.086629102916358183,True,True
placebo,1483,0.55353880032109737,True,False
placebo,1484,0.06555282591382236,True,True
placebo,1485,0.16210746504255832,True,True
placebo,1486,0.041788140795086512,True,True
placebo,1487,0.077192361658194764,True,True
placebo,1512,0.10135307450259873,True,True
placebo,1513,0.16426072400899219,True,True
placebo,1514,0.10167300450270464,True,True
placebo,1516,0.10612539450637122,True,True
placebo,1543,0.075005210787933818,True,True
placebo,1544,0.058583424825670159,True,True
placebo,1545,0.22043661791340466,True,True
placebo,1546,0.075541192441778052,True,True
placebo,1547,0.2376563882033115,True,True
placebo,1550,0.098090274759330076,True,True
placebo,1552,0.068955906244946352,True,True
placebo,1555,0.052192869378619687,True,True
placebo,1559,0.11049120929591473,True,True
placebo,1561,0.10436740288661098,True,True
placebo,1562,0.090042329030640647,True,True
placebo,1563,0.054797562303631718,True,True
placebo,1564,0.096749856485159949,True,True
placebo,1571,0.058832724939132781,True,True
placebo,1575,0.10107143798028585,True,True
placebo,1578,0.17097364456976041,True,True
placebo,1581,0.28425940557469564,True,False
placebo,1584,0.063874769809130053,True,True
placebo,1585,0.29117478412870529,True,False
placebo,1586,0.079844481764721004,True,True
placebo,1601,0.061505616290756127,True,True
placebo,1602,0.11798458156289178,True,True
placebo,1604,0.10747962112675959,True,True
placebo,1607,0.14412901351336357,True,True
placebo,1608,0.39681610909192994,True,False
placebo,1610,0.070454083331620385,True,True
placebo,1631,0.14490827440999884,True,True
placebo,1632,0.050512760030605522,True,True
placebo,1633,0.10968939373649067,True,True
placebo,1634,0.072502062576201565,True,True
placebo,1635,0.44610725101925947,True,False
placebo,1636,0.085381181811885226,True,True
placebo,1637,0.15463994715693533,True,True
placebo,1638,0.072360006901427368,True,True
placebo,1639,0.067272010818207328,True,True
placebo,1641,0.068571141382241546,True,True
placebo,1642,0.75464626397172863,False,False
placebo,1643,0.13292470218784974,True,True
placebo,1644,0.091855468341320939,True,True
placebo,1646,0.064392194976910344,True,True
placebo,1647,0.063540792128830861,True,True
placebo,1648,0.073867511121519625,True,True
placebo,1649,0.049208174666350288,True,True
placebo,1661,0.062858704153263292,True,True
placebo,1662,0.071713355328364092,True,True
placebo,1665,0.057313629436094894,True,True
placebo,1667,0.1386659899091921,True,True
placebo,1668,0.069456166952247878,True,True
placebo,1691,0.51955379126098589,True,False
placebo,1692,0.32001886035570398,True,False
placebo,1693,0.17835684705589724,True,True
placebo,1694,0.39358168503162222,True,False
placebo,2201,0.097040343973939042,True,True
placebo,2202,0.18852666438544363,True,True
placebo,2203,0.081246239737379877,True,True
placebo,2204,0.15026519889663947,True,True
placebo,2205,0.10485051532758287,True,True
placebo,2206,0.060943039214281035,True,True
placebo,2207,0.20876533460528243,True,True
