area_code,transport_access,friction_rank
18201,3.5600000000000001,13
18202,3.3799999999999999,12
18204,2.2000000000000002,8
18205,1.77,6
18207,1.6299999999999999,4
18208,2.8799999999999999,11
18210,2.4500000000000002,10
18322,2.27,9
18404,0.81999999999999995,1
18423,1.71,5
18481,1.8500000000000001,7
18483,1.1000000000000001,2
18501,1.4199999999999999,3
