unit_role,area_code,donor_code,weight
high_confidence,18201,1343,0.017405623156736046
high_confidence,18201,1461,0.01512191849025297
high_confidence,18201,1483,0.076287200382425729
high_confidence,18201,1691,0.010014286500686366
high_confidence,18201,3484,0.026526243577332329
high_confidence,18201,3501,0.0051116200228194615
high_confidence,18201,3506,0.0022552706869046315
high_confidence,18201,4406,0.017981270288621235
high_confidence,18201,9343,0.031053888953930166
high_confidence,18201,10384,0.26847857313113932
high_confidence,18201,11240,0.0036647887113660208
high_confidence,18201,13101,0.066670669176098554
high_confidence,18201,25425,0.0030306741158301312
high_confidence,18201,26103,0.033234848279599292
high_confidence,18201,27128,0.055451606150737014
high_confidence,18201,27321,0.0043891531130609094
high_confidence,18201,29201,0.23244898109238013
high_confidence,18201,29441,0.0030126921464432824
high_confidence,18201,29447,0.0091216867677548982
high_confidence,18201,31390,0.048799249179947511
high_confidence,18201,32203,0.021558482710414249
high_confidence,18201,32526,0.0027028193598437888
high_confidence,18201,39305,0.005842311762524601
high_confidence,18201,43506,0.039836142243151913
high_confidence,18202,1105,0.0032170936485334035
high_confidence,18202,1460,0.000619854186230879
high_confidence,18202,1461,0.024499932893518726
high_confidence,18202,1483,0.033937600960345191
high_confidence,18202,1642,0.017840784282435209
high_confidence,18202,2207,0.003461014289398353
high_confidence,18202,4406,0.10138108385206937
high_confidence,18202,13101,0.041385398308074257
high_confidence,18202,13103,0.019477523238171045
high_confidence,18202,13105,0.056858174502682823
high_confidence,18202,14103,0.0088144600584808726
high_confidence,18202,14341,0.012970145355206431
high_confidence,18202,14402,0.067860670896739236
high_confidence,18202,19425,0.017787544889684027
high_confidence,18202,22344,0.076987699769782467
high_confidence,18202,23216,0.020352368736350074
high_confidence,18202,23228,0.0058203194553053585
high_confidence,18202,25425,0.0093675397670314672
high_confidence,18202,26103,0.0014485983564749422
high_confidence,18202,27125,0.01794002318825217
high_confidence,18202,27220,0.015997189249009659
high_confidence,18202,28107,0.030351835631851301
high_confidence,18202,29447,0.012975394040308142
high_confidence,18202,29451,0.00061027189544919538
high_confidence,18202,31201,0.019151428209588293
high_confidence,18202,33204,0.23880297331697939
high_confidence,18202,34431,0.0089780478748107042
high_confidence,18202,39302,0.0053738533746029177
high_confidence,18202,41345,0.00058568306862315244
high_confidence,18202,42391,0.018068457106111012
high_confidence,18202,43506,0.031850344541854043
high_confidence,18202,46224,0.074315812752050806
high_confidence,18202,46529,0.00091087830399536605
high_confidence,18204,1105,0.006048815901808475
high_confidence,18204,1220,0.011397058632648581
high_confidence,18204,1472,0.0086389531311395554
high_confidence,18204,1545,0.0027486666757760361
high_confidence,18204,1632,0.19311598815889086
high_confidence,18204,1642,0.0041542884493720802
high_confidence,18204,1691,0.0033783924813783907
high_confidence,18204,2406,0.0097354004141644475
high_confidence,18204,2423,0.013059395749629792
high_confidence,18204,3484,0.0013991001052383754
high_confidence,18204,3501,0.0013250157976915815
high_confidence,18204,6382,0.0039367487836025677
high_confidence,18204,9343,0.0021154681309482654
high_confidence,18204,11109,0.023348012887576802
high_confidence,18204,11208,0.001925762229785
high_confidence,18204,11301,0.002110570393653977
high_confidence,18204,11341,0.035506320753365274
high_confidence,18204,13101,0.02196260872249246
high_confidence,18204,13228,0.042684239807779509
high_confidence,18204,19368,0.14246752320478498
high_confidence,18204,20201,0.017188582410724896
high_confidence,18204,20417,0.03888078848081411
high_confidence,18204,20422,0.012328908238249475
high_confidence,18204,22344,0.079877900625947004
high_confidence,18204,23563,0.082682205984862908
high_confidence,18204,26103,0.023300072325602769
high_confidence,18204,26105,0.017035168507047681
high_confidence,18204,27341,0.0041324296703515225
high_confidence,18204,28204,0.0068972884955549492
high_confidence,18204,28225,0.070636771121707645
high_confidence,18204,29447,0.01146984461076681
high_confidence,18204,31390,0.02043457534522226
high_confidence,18204,34431,0.0072379020984579675
high_confidence,18204,34462,0.012389310756315415
high_confidence,18204,39305,0.00091678953847063515
high_confidence,18204,43423,0.017388644485886985
high_confidence,18204,43425,0.020523248132179525
high_confidence,18204,45430,0.025621238760109293
high_confidence,18205,1110,0.023535381363008298
high_confidence,18205,1210,0.0094736766674256082
high_confidence,18205,1234,0.030958674489592677
high_confidence,18205,1483,0.0013559751536245223
high_confidence,18205,1545,0.048147330590053772
high_confidence,18205,2362,0.030417510848900257
high_confidence,18205,3366,0.0041257345110716648
high_confidence,18205,3506,0.016517501324032707
high_confidence,18205,7367,0.0036757687496791068
high_confidence,18205,7482,0.035606200760627843
high_confidence,18205,11363,0.17681028440491608
high_confidence,18205,13101,0.005853373493894181
high_confidence,18205,13206,0.10512206403429437
high_confidence,18205,20215,0.0059401082326127541
high_confidence,18205,20407,0.023791120892735235
high_confidence,18205,20430,0.16095066799902888
high_confidence,18205,20590,0.0086935572515111584
high_confidence,18205,21203,0.0020504420673991153
high_confidence,18205,21219,0.14256136244659159
high_confidence,18205,23228,0.0040231857296708059
high_confidence,18205,25425,0.0066018029096179586
high_confidence,18205,34368,0.017692033985260387
high_confidence,18205,39387,0.023858958990088178
high_confidence,18205,40107,0.0085575431007712324
high_confidence,18205,43423,0.098590683686980665
high_confidence,18205,43506,0.0050890563166109924
high_confidence,18207,1331,0.021575962359619217
high_confidence,18207,1461,0.0094068705071184196
high_confidence,18207,3501,0.044748470456809554
high_confidence,18207,4341,0.0016215205323857273
high_confidence,18207,5366,0.10210920689139842
high_confidence,18207,9202,0.076312039283313954
high_confidence,18207,11301,0.074447008092180592
high_confidence,18207,13101,0.019283940838785336
high_confidence,18207,14103,0.0016463512767712896
high_confidence,18207,20201,0.0030300094650226369
high_confidence,18207,20417,0.021002147517709083
high_confidence,18207,21341,0.2193150660412003
high_confidence,18207,21381,0.020882046255672266
high_confidence,18207,22302,0.043628796962519097
high_confidence,18207,23228,0.0066297364284323181
high_confidence,18207,25441,0.0066796275417167874
high_confidence,18207,26103,0.015449976074387915
high_confidence,18207,26104,0.0017024694787177194
high_confidence,18207,26105,0.012435837429056625
high_confidence,18207,26108,0.098608220758642229
high_confidence,18207,27128,0.00051305082701560392
high_confidence,18207,27205,0.063978446357971397
high_confidence,18207,27361,0.0060426147714146708
high_confidence,18207,29451,0.0062158850960869691
high_confidence,18207,31390,0.0019876136722149214
high_confidence,18207,34103,0.010434590216595067
high_confidence,18207,37364,0.0031212532579241027
high_confidence,18207,39302,0.0052946418616487577
high_confidence,18207,40103,0.04770256588561609
high_confidence,18207,40218,0.015137223250334798
high_confidence,18207,43506,0.019981301946475728
high_confidence,18207,46482,0.0098425949092083211
high_confidence,18207,46524,0.0044244470148266189
high_confidence,18207,47315,0.0048084667412071538
high_confidence,18208,1234,0.022797316887599766
high_confidence,18208,1457,0.014012785145893972
high_confidence,18208,1461,0.0066807156400376169
high_confidence,18208,1483,0.069183524308230618
high_confidence,18208,1693,0.014057125385236425
high_confidence,18208,3366,0.011263107390984128
high_confidence,18208,5211,0.011241246840673571
high_confidence,18208,5366,0.053406890524794484
high_confidence,18208,6366,0.0038236190353257769
high_confidence,18208,6382,0.01732146234357522
high_confidence,18208,7446,0.0057405641641636185
high_confidence,18208,11240,0.0044040427803187319
high_confidence,18208,12106,0.023597788155439416
high_confidence,18208,13101,0.018698526313928081
high_confidence,18208,14103,0.047719569518491746
high_confidence,18208,14207,0.065153301520045559
high_confidence,18208,20388,0.0021628431899555866
high_confidence,18208,23228,0.0023848373610995165
