pref_code,pref_name,year,month,total_stays,foreign_stays_10plus,vintage,frame_basis
39,高知県,2018,2,197780.0,7590.0,confirmed,employee_count
40,福岡県,2018,2,1325900.0,261170.0,confirmed,employee_count
41,佐賀県,2018,2,213110.0,33470.0,confirmed,employee_count
42,長崎県,2018,2,524910.0,42770.0,confirmed,employee_count
43,熊本県,2018,2,560300.0,80560.0,confirmed,employee_count
44,大分県,2018,2,596400.0,113460.0,confirmed,employee_count
45,宮崎県,2018,2,370170.0,22170.0,confirmed,employee_count
46,鹿児島県,2018,2,672230.0,69320.0,confirmed,employee_count
47,沖縄県,2018,2,1932180.0,362480.0,confirmed,employee_count
01,北海道,2018,3,2740050.0,599510.0,confirmed,employee_count
02,青森県,2018,3,356310.0,13860.0,confirmed,employee_count
03,岩手県,2018,3,461860.0,10930.0,confirmed,employee_count
04,宮城県,2018,3,879740.0,19450.0,confirmed,employee_count
05,秋田県,2018,3,228430.0,6850.0,confirmed,employee_count
06,山形県,2018,3,429140.0,10250.0,confirmed,employee_count
07,福島県,2018,3,890990.0,16980.0,confirmed,employee_count
08,茨城県,2018,3,508870.0,17800.0,confirmed,employee_count
09,栃木県,2018,3,809880.0,22620.0,confirmed,employee_count
10,群馬県,2018,3,694950.0,21510.0,confirmed,employee_count
11,埼玉県,2018,3,436840.0,14010.0,confirmed,employee_count
12,千葉県,2018,3,2290360.0,287680.0,confirmed,employee_count
13,東京都,2018,3,5648390.0,1851620.0,confirmed,employee_count
14,神奈川県,2018,3,2022060.0,194000.0,confirmed,employee_count
15,新潟県,2018,3,834620.0,17410.0,confirmed,employee_count
16,富山県,2018,3,267960.0,10900.0,confirmed,employee_count
17,石川県,2018,3,807470.0,58110.0,confirmed,employee_count
18,福井県,2018,3,322200.0,4280.0,confirmed,employee_count
19,山梨県,2018,3,635760.0,131990.0,confirmed,employee_count
20,長野県,2018,3,1332680.0,77630.0,confirmed,employee_count
21,岐阜県,2018,3,543300.0,70410.0,confirmed,employee_count
22,静岡県,2018,3,1995900.0,120620.0,confirmed,employee_count
23,愛知県,2018,3,1472930.0,217130.0,confirmed,employee_count
24,三重県,2018,3,781150.0,29460.0,confirmed,employee_count
25,滋賀県,2018,3,369230.0,34230.0,confirmed,employee_count
26,京都府,2018,3,1739290.0,428850.0,confirmed,employee_count
27,大阪府,2018,3,3331480.0,925750.0,confirmed,employee_count
28,兵庫県,2018,3,1213450.0,96830.0,confirmed,employee_count
29,奈良県,2018,3,213430.0,24650.0,confirmed,employee_count
30,和歌山県,2018,3,487290.0,38600.0,confirmed,employee_count
31,鳥取県,2018,3,262060.0,13070.0,confirmed,employee_count
32,島根県,2018,3,267220.0,5010.0,confirmed,employee_count
33,岡山県,2018,3,478800.0,40100.0,confirmed,employee_count
34,広島県,2018,3,844800.0,91160.0,confirmed,employee_count
35,山口県,2018,3,389150.0,9310.0,confirmed,employee_count
36,徳島県,2018,3,207850.0,9140.0,confirmed,employee_count
37,香川県,2018,3,375910.0,32190.0,confirmed,employee_count
38,愛媛県,2018,3,393340.0,17680.0,confirmed,employee_count
39,高知県,2018,3,267720.0,6940.0,confirmed,employee_count
40,福岡県,2018,3,1477490.0,269910.0,confirmed,employee_count
41,佐賀県,2018,3,250080.0,32460.0,confirmed,employee_count
42,長崎県,2018,3,722040.0,47590.0,confirmed,employee_count
43,熊本県,2018,3,702570.0,86080.0,confirmed,employee_count
44,大分県,2018,3,753630.0,103270.0,confirmed,employee_count
45,宮崎県,2018,3,376440.0,30890.0,confirmed,employee_count
46,鹿児島県,2018,3,760320.0,63540.0,confirmed,employee_count
47,沖縄県,2018,3,2369460.0,377720.0,confirmed,employee_count
01,北海道,2018,4,2135820.0,400630.0,confirmed,employee_count
02,青森県,2018,4,396700.0,35520.0,confirmed,employee_count
03,岩手県,2018,4,452920.0,29470.0,confirmed,employee_count
04,宮城県,2018,4,832330.0,44000.0,confirmed,employee_count
05,秋田県,2018,4,241950.0,12860.0,confirmed,employee_count
06,山形県,2018,4,368460.0,8850.0,confirmed,employee_count
07,福島県,2018,4,889840.0,18000.0,confirmed,employee_count
08,茨城県,2018,4,476290.0,23180.0,confirmed,employee_count
09,栃木県,2018,4,724780.0,28990.0,confirmed,employee_count
10,群馬県,2018,4,592010.0,35610.0,confirmed,employee_count
11,埼玉県,2018,4,415400.0,16930.0,confirmed,employee_count
12,千葉県,2018,4,2038620.0,380690.0,confirmed,employee_count
13,東京都,2018,4,5617020.0,2108210.0,confirmed,employee_count
14,神奈川県,2018,4,1898860.0,253270.0,confirmed,employee_count
15,新潟県,2018,4,631800.0,21780.0,confirmed,employee_count
16,富山県,2018,4,305100.0,45340.0,confirmed,employee_count
17,石川県,2018,4,750860.0,121630.0,confirmed,employee_count
18,福井県,2018,4,273320.0,9790.0,confirmed,employee_count
19,山梨県,2018,4,677430.0,180630.0,confirmed,employee_count
20,長野県,2018,4,1102730.0,136150.0,confirmed,employee_count
21,岐阜県,2018,4,548500.0,133490.0,confirmed,employee_count
22,静岡県,2018,4,1669300.0,153540.0,confirmed,employee_count
23,愛知県,2018,4,1406600.0,248710.0,confirmed,employee_count
24,三重県,2018,4,690600.0,34520.0,confirmed,employee_count
25,滋賀県,2018,4,431300.0,59830.0,confirmed,employee_count
26,京都府,2018,4,1849940.0,587380.0,confirmed,employee_count
27,大阪府,2018,4,3283580.0,1222570.0,confirmed,employee_count
28,兵庫県,2018,4,1069810.0,121680.0,confirmed,employee_count
29,奈良県,2018,4,239010.0,40640.0,confirmed,employee_count
30,和歌山県,2018,4,442990.0,48530.0,confirmed,employee_count
31,鳥取県,2018,4,272470.0,12960.0,confirmed,employee_count
32,島根県,2018,4,245050.0,8660.0,confirmed,employee_count
33,岡山県,2018,4,459050.0,50610.0,confirmed,employee_count
34,広島県,2018,4,887390.0,124550.0,confirmed,employee_count
35,山口県,2018,4,352470.0,9440.0,confirmed,employee_count
36,徳島県,2018,4,194310.0,8610.0,confirmed,employee_count
37,香川県,2018,4,328680.0,41640.0,confirmed,employee_count
38,愛媛県,2018,4,361830.0,21940.0,confirmed,employee_count
39,高知県,2018,4,243790.0,6180.0,confirmed,employee_count
40,福岡県,2018,4,1407800.0,309400.0,confirmed,employee_count
41,佐賀県,2018,4,227860.0,36270.0,confirmed,employee_count
42,長崎県,2018,4,652130.0,63820.0,confirmed,employee_count
43,熊本県,2018,4,679780.0,89660.0,confirmed,employee_count
44,大分県,2018,4,635130.0,106860.0,confirmed,employee_count
45,宮崎県,2018,4,305830.0,27450.0,confirmed,employee_count
46,鹿児島県,2018,4,696570.0,61120.0,confirmed,employee_count
47,沖縄県,2018,4,2105270.0,419410.0,confirmed,employee_count
01,北海道,2018,5,2731360.0,526100.0,confirmed,employee_count
02,青森県,2018,5,430620.0,19580.0,confirmed,employee_count
03,岩手県,2018,5,494010.0,11080.0,confirmed,employee_count
04,宮城県,2018,5,832060.0,24940.0,confirmed,employee_count
05,秋田県,2018,5,324230.0,6590.0,confirmed,employee_count
06,山形県,2018,5,425950.0,6250.0,confirmed,employee_count
07,福島県,2018,5,920080.0,7800.0,confirmed,employee_count
08,茨城県,2018,5,532050.0,19580.0,confirmed,employee_count
09,栃木県,2018,5,843390.0,23130.0,confirmed,employee_count
10,群馬県,2018,5,659460.0,33530.0,confirmed,employee_count
11,埼玉県,2018,5,399700.0,13050.0,confirmed,employee_count
12,千葉県,2018,5,2125780.0,357300.0,confirmed,employee_count
13,東京都,2018,5,5405620.0,1755950.0,confirmed,employee_count
14,神奈川県,2018,5,1895260.0,198800.0,confirmed,employee_count
15,新潟県,2018,5,729030.0,15960.0,confirmed,employee_count
16,富山県,2018,5,349230.0,50890.0,confirmed,employee_count
17,石川県,2018,5,740580.0,85890.0,confirmed,employee_count
18,福井県,2018,5,298540.0,7410.0,confirmed,employee_count
19,山梨県,2018,5,702140.0,144390.0,confirmed,employee_count
20,長野県,2018,5,1401220.0,122100.0,confirmed,employee_count
21,岐阜県,2018,5,566400.0,112190.0,confirmed,employee_count
22,静岡県,2018,5,1703300.0,134380.0,confirmed,employee_count
23,愛知県,2018,5,1413200.0,223860.0,confirmed,employee_count
24,三重県,2018,5,661280.0,25280.0,confirmed,employee_count
25,滋賀県,2018,5,420900.0,34270.0,confirmed,employee_count
26,京都府,2018,5,1938690.0,471350.0,confirmed,employee_count
27,大阪府,2018,5,3214130.0,1152340.0,confirmed,employee_count
28,兵庫県,2018,5,1080430.0,95220.0,confirmed,employee_count
29,奈良県,2018,5,264090.0,30170.0,confirmed,employee_count
30,和歌山県,2018,5,462000.0,34670.0,confirmed,employee_count
31,鳥取県,2018,5,297400.0,10470.0,confirmed,employee_count
32,島根県,2018,5,275860.0,5810.0,confirmed,employee_count
33,岡山県,2018,5,488450.0,39050.0,confirmed,employee_count
34,広島県,2018,5,899510.0,85010.0,confirmed,employee_count
35,山口県,2018,5,379120.0,7560.0,confirmed,employee_count
36,徳島県,2018,5,209420.0,6750.0,confirmed,employee_count
37,香川県,2018,5,337440.0,35500.0,confirmed,employee_count
38,愛媛県,2018,5,372140.0,19620.0,confirmed,employee_count
39,高知県,2018,5,284260.0,5720.0,confirmed,employee_count
40,福岡県,2018,5,1411720.0,273560.0,confirmed,employee_count
41,佐賀県,2018,5,245450.0,32010.0,confirmed,employee_count
42,長崎県,2018,5,712240.0,45140.0,confirmed,employee_count
43,熊本県,2018,5,706780.0,67170.0,confirmed,employee_count
44,大分県,2018,5,654830.0,91020.0,confirmed,employee_count
45,宮崎県,2018,5,351210.0,26260.0,confirmed,employee_count
46,鹿児島県,2018,5,796270.0,56360.0,confirmed,employee_count
47,沖縄県,2018,5,2058330.0,441420.0,confirmed,employee_count
01,北海道,2018,6,3095940.0,599230.0,confirmed,employee_count
02,青森県,2018,6,435670.0,19520.0,confirmed,employee_count
03,岩手県,2018,6,488330.0,12910.0,confirmed,employee_count
04,宮城県,2018,6,840220.0,24580.0,confirmed,employee_count
05,秋田県,2018,6,320750.0,5490.0,confirmed,employee_count
06,山形県,2018,6,453500.0,5260.0,confirmed,employee_count
07,福島県,2018,6,909990.0,6390.0,confirmed,employee_count
08,茨城県,2018,6,482840.0,15860.0,confirmed,employee_count
09,栃木県,2018,6,716130.0,13930.0,confirmed,employee_count
10,群馬県,2018,6,605810.0,15890.0,confirmed,employee_count
11,埼玉県,2018,6,369330.0,12530.0,confirmed,employee_count
12,千葉県,2018,6,2054290.0,402100.0,confirmed,employee_count
13,東京都,2018,6,5318470.0,1887300.0,confirmed,employee_count
14,神奈川県,2018,6,1798920.0,215190.0,confirmed,employee_count
15,新潟県,2018,6,652620.0,13480.0,confirmed,employee_count
16,富山県,2018,6,269410.0,23890.0,confirmed,employee_count
17,石川県,2018,6,701440.0,56290.0,confirmed,employee_count
18,福井県,2018,6,289420.0,6290.0,confirmed,employee_count
19,山梨県,2018,6,628710.0,140530.0,confirmed,employee_count
20,長野県,2018,6,1206270.0,74830.0,confirmed,employee_count
21,岐阜県,2018,6,467100.0,86970.0,confirmed,employee_count
22,静岡県,2018,6,1532600.0,142650.0,confirmed,employee_count
23,愛知県,2018,6,1337900.0,227090.0,confirmed,employee_count
24,三重県,2018,6,589940.0,25320.0,confirmed,employee_count
25,滋賀県,2018,6,350270.0,31710.0,confirmed,employee_count
26,京都府,2018,6,1657930.0,470540.0,confirmed,employee_count
27,大阪府,2018,6,3077580.0,1151850.0,confirmed,employee_count
28,兵庫県,2018,6,977770.0,91710.0,confirmed,employee_count
29,奈良県,2018,6,204720.0,30950.0,confirmed,employee_count
30,和歌山県,2018,6,338720.0,34420.0,confirmed,employee_count
31,鳥取県,2018,6,244610.0,11080.0,confirmed,employee_count
32,島根県,2018,6,222960.0,5810.0,confirmed,employee_count
33,岡山県,2018,6,426370.0,35200.0,confirmed,employee_count
34,広島県,2018,6,774260.0,72770.0,confirmed,employee_count
35,山口県,2018,6,334730.0,5590.0,confirmed,employee_count
36,徳島県,2018,6,154390.0,5930.0,confirmed,employee_count
37,香川県,2018,6,292220.0,34110.0,confirmed,employee_count
38,愛媛県,2018,6,325070.0,18230.0,confirmed,employee_count
39,高知県,2018,6,200940.0,3990.0,confirmed,employee_count
40,福岡県,2018,6,1306080.0,255050.0,confirmed,employee_count
